Timestamp,BCG
1705797724000,-873.3333333333334
1705797724020,-611.6666666666666
1705797724040,-1767.0
1705797724060,-9.666666666666666
1705797724080,-20.0
1705797724100,-67.66666666666667
1705797724120,-1984.0
1705797724140,-1514.0
1705797724160,-874.6666666666666
1705797724180,-1282.0
1705797724200,-1862.0
1705797724220,-1867.3333333333333
1705797724240,-3.6666666666666665
1705797724260,-44.333333333333336
1705797724280,-1529.5
1705797724300,-2014.6666666666667
1705797724320,-76.33333333333333
1705797724340,-3279.6666666666665
1705797724360,-3296.0
1705797724380,-3280.0
1705797724400,-2336.0
1705797724420,-1104.3333333333333
1705797724440,-3285.0
1705797724460,-1147.0
1705797724480,-3014.5
1705797724500,-963.3333333333334
1705797724520,-2512.6666666666665
1705797724540,-814.6666666666666
1705797724560,-743.0
1705797724580,-882.0
1705797724600,-562.6666666666666
1705797724620,-518.3333333333334
1705797724640,-686.6666666666666
1705797724660,-1432.0
1705797724680,-2194.5
1705797724700,-1349.0
1705797724720,-655.0
1705797724740,-1215.3333333333333
1705797724760,-1466.6666666666667
1705797724780,-1261.5
1705797724800,-955.6666666666666
1705797724820,-1786.0
1705797724840,-1676.6666666666667
1705797724860,-86.33333333333333
1705797724880,-107.0
1705797724900,-63.0
1705797724920,-1696.0
1705797724940,-2496.3333333333335
1705797724960,-1676.6666666666667
1705797724980,-62.0
1705797725000,-2247.3333333333335
1705797725020,-735.0
1705797725040,-559.6666666666666
1705797725060,-884.6666666666666
1705797725080,-501.0
1705797725100,-243.66666666666666
1705797725120,-106.0
1705797725140,132.33333333333334
1705797725160,266.3333333333333
1705797725180,651.0
1705797725200,495.3333333333333
1705797725220,-44.666666666666664
1705797725240,676.3333333333334
1705797725260,1357.0
1705797725280,-37.5
1705797725300,1407.3333333333333
1705797725320,-35.666666666666664
1705797725340,1076.6666666666667
1705797725360,1224.0
1705797725380,1889.0
1705797725400,2740.6666666666665
1705797725420,1390.0
1705797725440,4407.333333333333
1705797725460,1418.0
1705797725480,4135.0
1705797725500,-72.0
1705797725520,-44.666666666666664
1705797725540,4174.0
1705797725560,1330.0
1705797725580,1760.5
1705797725600,1036.3333333333333
1705797725620,1825.0
1705797725640,887.0
1705797725660,2841.6666666666665
1705797725680,-85.0
1705797725700,848.0
1705797725720,1585.6666666666667
1705797725740,1365.6666666666667
1705797725760,585.0
1705797725780,1830.5
1705797725800,-81.33333333333333
1705797725820,1059.6666666666667
1705797725840,-90.0
1705797725860,1344.6666666666667
1705797725880,-57.0
1705797725900,691.0
1705797725920,823.6666666666666
1705797725940,-28.333333333333332
1705797725960,568.3333333333334
1705797725980,487.0
1705797726000,1052.0
1705797726020,322.3333333333333
1705797726040,511.0
1705797726060,-90.33333333333333
1705797726080,249.5
1705797726100,-55.666666666666664
1705797726120,-222.66666666666666
1705797726140,-579.0
1705797726160,-324.6666666666667
1705797726180,-373.5
1705797726200,-117.33333333333333
1705797726220,-122.0
1705797726240,-157.66666666666666
1705797726260,-165.0
1705797726280,-341.0
1705797726300,-352.0
1705797726320,-423.0
1705797726340,-47.666666666666664
1705797726360,-857.6666666666666
1705797726380,-33.5
1705797726400,-525.6666666666666
1705797726420,-1258.3333333333333
1705797726440,-773.6666666666666
1705797726460,-2720.3333333333335
1705797726480,-1262.5
1705797726500,-85.66666666666667
1705797726520,-911.0
1705797726540,-1860.6666666666667
1705797726560,-67.0
1705797726580,-1525.5
1705797726600,-2984.0
1705797726620,-2989.0
1705797726640,-61.666666666666664
1705797726660,-2742.6666666666665
1705797726680,-2691.5
1705797726700,-2723.6666666666665
1705797726720,-989.3333333333334
1705797726740,-3007.6666666666665
1705797726760,-2040.6666666666667
1705797726780,-1368.0
1705797726800,-870.6666666666666
1705797726820,-52.0
1705797726840,-1493.0
1705797726860,-795.6666666666666
1705797726880,-1250.5
1705797726900,-1630.3333333333333
1705797726920,-66.0
1705797726940,-774.0
1705797726960,-1297.0
1705797726980,-772.5
1705797727000,-796.3333333333334
1705797727020,-82.33333333333333
1705797727040,-210.66666666666666
1705797727060,90.33333333333333
1705797727080,349.5
1705797727100,369.3333333333333
1705797727120,1375.6666666666667
1705797727140,-106.0
1705797727160,535.3333333333334
1705797727180,1007.5
1705797727200,1633.6666666666667
1705797727220,927.0
1705797727240,1004.6666666666666
1705797727260,3118.3333333333335
1705797727280,3147.5
1705797727300,1151.0
1705797727320,1243.6666666666667
1705797727340,-66.33333333333333
1705797727360,1183.0
1705797727380,3398.0
1705797727400,993.0
1705797727420,977.0
1705797727440,2907.0
1705797727460,1895.3333333333333
1705797727480,-46.5
1705797727500,1730.0
1705797727520,809.6666666666666
1705797727540,754.0
1705797727560,1298.3333333333333
1705797727580,866.5
1705797727600,1059.3333333333333
1705797727620,472.0
1705797727640,474.0
1705797727660,1584.6666666666667
1705797727680,-34.0
1705797727700,1365.6666666666667
1705797727720,1301.0
1705797727740,282.0
1705797727760,190.0
1705797727780,250.5
1705797727800,203.0
1705797727820,794.6666666666666
1705797727840,475.3333333333333
1705797727860,1550.6666666666667
1705797727880,1586.0
1705797727900,522.6666666666666
1705797727920,1849.3333333333333
1705797727940,564.0
1705797727960,972.6666666666666
1705797727980,614.0
1705797728000,1104.0
1705797728020,1076.3333333333333
1705797728040,646.6666666666666
1705797728060,155.66666666666666
1705797728080,164.5
1705797728100,47.666666666666664
1705797728120,-36.333333333333336
1705797728140,171.66666666666666
1705797728160,-9.666666666666666
1705797728180,-110.5
1705797728200,-54.0
1705797728220,-203.66666666666666
1705797728240,-408.3333333333333
1705797728260,-307.6666666666667
1705797728280,-386.0
1705797728300,-350.0
1705797728320,-449.6666666666667
1705797728340,-531.0
1705797728360,-1491.6666666666667
1705797728380,-1483.0
